Program,Year,Applied,Admitted,Enrolled
Professional Master's Program,2020-21,24478,9160,5274
Professional Master's Program,2021-22,31902,9945,5523
Professional Master's Program,2022-23,26414,9544,5368
Professional Master's Program,2023-24,26583,10220,5449
Professional Master's Program,2024-25,27612,10910,5878
Doctoral Stream Master's Program,2020-21,10262,2610,1548
Doctoral Stream Master's Program,2021-22,12154,2546,1535
Doctoral Stream Master's Program,2022-23,9915,2540,1469
Doctoral Stream Master's Program,2023-24,8975,2388,1380
Doctoral Stream Master's Program,2024-25,8704,2468,1461
